category,tool,official_url,market_role,buyer,core_use_case,pricing_model,status,evidence_date,evidence_confidence
E-signature,DocuSign,https://www.docusign.com,leader,Legal/Sales/Operations,Create route sign and audit agreements,subscription/contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
E-signature,Adobe Acrobat Sign,https://www.adobe.com/acrobat/business/sign.html,leader,Legal/Sales/Operations,Create route sign and audit agreements,subscription/contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
E-signature,Dropbox Sign,https://sign.dropbox.com,leader,Sales/Operations,Create route sign and audit agreements,subscription,Current commercial product—direct official URL captured,2026-08-17,Medium
E-signature,PandaDoc,https://www.pandadoc.com,leader,Sales/Revenue Operations,Prepare sign and track proposals/agreements,subscription,Current commercial product—direct official URL captured,2026-08-17,Medium
E-signature,airSlate SignNow,https://www.signnow.com,challenger,Operations/SMB,Create route sign and audit agreements,subscription,Current commercial product—direct official URL captured,2026-08-17,Medium
E-signature,OneSpan Sign,https://www.onespan.com/products/onespan-sign,challenger,Regulated enterprises,High-assurance e-signature,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
E-signature,Zoho Sign,https://www.zoho.com/sign,challenger,SMB/Zoho users,Create route sign and audit agreements,subscription,Current commercial product—direct official URL captured,2026-08-17,Medium
E-signature,Yousign,https://yousign.com,challenger,European SMB/mid-market,Create route sign and audit agreements,subscription/contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
E-signature,BoldSign,https://boldsign.com,challenger,Developers/SMB,API and embedded e-signature,subscription,Current commercial product—direct official URL captured,2026-08-17,Medium
E-signature,SignWell,https://www.signwell.com,niche,SMB,Simple e-signature workflows,subscription,Current commercial product—direct official URL captured,2026-08-17,Medium
CLM,Ironclad,https://ironcladapp.com,leader,Legal operations,Contract intake authoring approval and renewal,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
CLM,Icertis,https://www.icertis.com,leader,Enterprise legal/procurement,Enterprise contract lifecycle management,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
CLM,DocuSign CLM,https://www.docusign.com/products/clm,leader,Legal/Sales/Procurement,Contract lifecycle management,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
CLM,Agiloft,https://www.agiloft.com,challenger,Legal/Operations,Configurable contract lifecycle management,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
CLM,Sirion,https://www.sirion.ai,challenger,Enterprise legal/procurement,Contract lifecycle and obligation management,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
CLM,LinkSquares,https://www.linksquares.com,challenger,In-house legal,Contract lifecycle and repository,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
CLM,ContractPodAi,https://contractpodai.com,challenger,Enterprise legal,CLM and legal operations,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
CLM,Juro,https://juro.com,challenger,Mid-market legal/business,Collaborative contracts,subscription/contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
CLM,Conga CLM,https://conga.com,challenger,Sales/legal operations,Commercial document and contract lifecycle management,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
CLM,SpotDraft,https://www.spotdraft.com,challenger,In-house legal,AI-enabled CLM,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
VDR,Datasite,https://www.datasite.com,leader,M&A/corporate development,Due-diligence virtual data room,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
VDR,iDeals,https://www.idealsvdr.com,leader,M&A/legal/funds,Due-diligence virtual data room,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
VDR,Intralinks,https://www.intralinks.com,leader,M&A/financial services,Due-diligence virtual data room,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
VDR,Firmex,https://www.firmex.com,challenger,M&A/legal,Due-diligence virtual data room,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
VDR,Ansarada,https://www.ansarada.com,challenger,M&A/governance,Due-diligence virtual data room,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
VDR,ShareFile,https://www.sharefile.com,challenger,Professional services,Secure client-file sharing,subscription/contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
VDR,SecureDocs,https://www.securedocs.com,challenger,M&A/SMB,Due-diligence virtual data room,subscription/contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
VDR,DFIN Venue,https://www.dfinsolutions.com/products/venue,challenger,Public company/M&A,Due-diligence virtual data room,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
VDR,DealRoom,https://dealroom.net,challenger,M&A/corporate development,Deal management and virtual data room,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
VDR,Digify,https://digify.com,niche,SMB/professional services,Secure document sharing and data rooms,subscription,Current commercial product—direct official URL captured,2026-08-17,Medium
GRC,Vanta,https://www.vanta.com,leader,Security/compliance,Automate compliance evidence and controls,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
GRC,Drata,https://drata.com,leader,Security/compliance,Automate compliance evidence and controls,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
GRC,Secureframe,https://secureframe.com,challenger,Security/compliance,Compliance automation,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
GRC,Sprinto,https://sprinto.com,challenger,Security/compliance,Compliance automation,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
GRC,AuditBoard,https://www.auditboard.com,leader,Enterprise audit/risk,Audit risk and compliance management,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
GRC,Workiva,https://www.workiva.com,leader,Enterprise finance/risk,Assurance reporting and GRC,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
GRC,Hyperproof,https://hyperproof.io,challenger,Security/compliance,Compliance operations,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
GRC,Thoropass,https://thoropass.com,challenger,Security/compliance,Compliance automation and audit services,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
GRC,Scytale,https://scytale.ai,challenger,Security/compliance,Compliance automation,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
GRC,LogicGate,https://www.logicgate.com,challenger,Enterprise risk/compliance,Risk and compliance workflow platform,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
Procurement,SAP Ariba,https://www.sap.com/products/spend-management/ariba.html,leader,Enterprise procurement,Source-to-pay and supplier management,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
Procurement,Coupa,https://www.coupa.com,leader,Enterprise procurement/finance,Business spend management,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
Procurement,Oracle Fusion Procurement,https://www.oracle.com/erp/procurement,leader,Enterprise procurement,Procurement suite,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
Procurement,GEP SMART,https://www.gep.com/software/gep-smart,challenger,Enterprise procurement,Source-to-pay,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
Procurement,Ivalua,https://www.ivalua.com,challenger,Enterprise procurement,Source-to-pay and supplier management,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
Procurement,JAGGAER,https://www.jaggaer.com,challenger,Enterprise procurement,Source-to-pay,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
Procurement,Zip,https://ziphq.com,challenger,Procurement/finance,Procurement intake and orchestration,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
Procurement,Basware,https://www.basware.com,challenger,Finance/procurement,Procure-to-pay and invoicing,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
Procurement,Procurify,https://www.procurify.com,challenger,Mid-market finance/procurement,Spend and purchasing control,contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
Procurement,Precoro,https://precoro.com,challenger,Mid-market procurement,Procurement workflow,subscription/contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
PaaS,Vercel,https://vercel.com,leader,Developers,Deploy and operate web applications,usage/subscription,Current commercial product—direct official URL captured,2026-08-17,Medium
PaaS,Netlify,https://www.netlify.com,leader,Developers,Deploy and operate web applications,usage/subscription,Current commercial product—direct official URL captured,2026-08-17,Medium
PaaS,Render,https://render.com,challenger,Developers,Deploy and operate applications,usage/subscription,Current commercial product—direct official URL captured,2026-08-17,Medium
PaaS,Railway,https://railway.com,challenger,Developers,Deploy and operate applications,usage/subscription,Current commercial product—direct official URL captured,2026-08-17,Medium
PaaS,Fly.io,https://fly.io,challenger,Developers,Deploy distributed applications,usage/subscription,Current commercial product—direct official URL captured,2026-08-17,Medium
PaaS,Heroku,https://www.heroku.com,leader,Developers,Deploy and operate applications,usage/subscription,Current commercial product—direct official URL captured,2026-08-17,Medium
PaaS,Northflank,https://northflank.com,challenger,Developers/platform teams,Deploy and operate applications,usage/subscription,Current commercial product—direct official URL captured,2026-08-17,Medium
PaaS,Google Cloud Run,https://cloud.google.com/run,leader,Developers/platform teams,Run containers serverlessly,usage,Current commercial product—direct official URL captured,2026-08-17,Medium
PaaS,AWS App Runner,https://aws.amazon.com/apprunner,leader,Developers/platform teams,Run containers as managed applications,usage,Current commercial product—direct official URL captured,2026-08-17,Medium
PaaS,DigitalOcean App Platform,https://www.digitalocean.com/products/app-platform,challenger,Developers/SMB,Deploy and operate applications,usage/subscription,Current commercial product—direct official URL captured,2026-08-17,Medium
Observability,Datadog,https://www.datadoghq.com,leader,Engineering/SRE,Metrics logs traces and incident detection,usage/contact-sales,Current commercial product—direct official URL captured,2026-08-17,Medium
Observability,Grafana Cloud,https://grafana.com/products/cloud,leader,Engineering/SRE,Metrics logs traces and visualization,usage/subscription,Current commercial product—direct official URL captured,2026-08-17,Medium
